"title","price","priceAfterDiscount","sold","store","shopBadge"
"IMPORT GU10 TUYA BLUETOTH/WIFI SMART LED LIGHT BULB 220V RGB SMAR LAMP SMART HOME DECOR DIMMABLE LED SPOTLIGHT WORKS WITH ALEXA, GOOGLE","Rp200.000","Rp200.000","N/A","Jamona Shopes","N/A"
"Smart WiFi E27 Socket Lamp Holder Tuya Light Bulbs Wi-Fi Adapter Mini Remote Control Smart Home Alexa Google Home IFTTT Alice SmartThings - T2","Rp152.390","Rp152.390","N/A","panzerkids","N/A"
"6MM Thin Smart Tuya Zigbee Dimmable Ceiling Surface Mount Magnetie Track Light System Black White Slim Lamp Safe DC48V for Home","Rp1.358.100","Rp1.358.100","N/A","yulianiana","N/A"
"SALE TERLARIS ALCIE SMART WIFI LIGHT BULB SOCKET LAMP HOLDER E27 TUYA FITTING LAMPU PINTAR READYY","Rp191.000","Rp191.000","N/A","kianoo store1","N/A"
"Tuya Smart LED RGB Wall Lamp Rectangle Dimmable Up Down Sconce Bedroom Vanity APP Voice Control Mirror Front Wall Lights Fixture","Rp966.000","Rp966.000","N/A","April gify shop","N/A"
"Vickyo Tuya Quantum Lamp Wifi Smart Rgbic Hexagonal Panel Lights","Rp1.752.100","Rp1.752.100","N/A","sigillarian","N/A"
"Wireless Bulb Base Smart Home Remote Contro Lamp Holder Tuya Smart","Rp265.000","Rp265.000","N/A","kiwok store","N/A"
"T3 Smart LED RGB Ambient Light Wifi Table Lamp TL1 Multi-Color Tuya Sm","Rp600.000","Rp600.000","N/A","T3 Smart Home","N/A"
"SEYVEN Smart Lamp LED Bulb RGB+ WW 9W WiFi Smart Bulb Tuya Smart Home","Rp60.000","Rp60.000","N/A","Sinar Electric Jakarta","N/A"
"Xiaomi Smart Ceiling Lamp 24W LED RGB Bathroom Ceiling Light Tuya Alexa Google APP Control For Bedroom Home Decor 220V","Rp446.000","Rp446.000","N/A","GROSIR INDOMIE LUISNANNNNN","N/A"
"Smart LED Bulb Tuya WiFi Lamp Light E27 RGB Zigbee 3.0 12W 110V 220V Smart Home Decor Lighting Voice Control Via Alexa Google","Rp171.000","Rp171.000","N/A","tokobajuzuhari","N/A"
"RABIT Smart Lamp LED Lampu Downlight Plafon Bluetooth 18W RGB","Rp114.000","Rp114.000","3 terjual","Toko Sebelas Kenari Mas","Power Shop"
"TUYA Smart Door Lock FingerRFID Kunci Digital Pintu Sliding Frame CARDTECK DL04 - ExtraPaletKayu","Rp1.798.000","Rp1.798.000","250+ terjual","FOCUS SECURITY STORE","Power Shop"
"ALMO Tuya Smart WiFi Universal IR Remote Sensor Temperature & Humidity","Rp186.000","Rp186.000","500+ terjual","ALMO Official Store","Power Shop"
"ALMO Tuya Smart ZigBee Mechanical Switch Saklar Home Automation IoT","Rp182.000","Rp182.000","1rb+ terjual","ALMO Official Store","Power Shop"
