"title","price","priceAfterDiscount","sold","store","shopBadge"
"Tuya Zigbee E14 E12 Smart Candle Bulb RGBCW 5W LED Lamp Smartthings","Rp183.500","Rp183.500","N/A","maulishsopsa","N/A"
"Tuya Smart Sunset Lamp Night Light Sunset Projector Smart Life APP Remote Led Lights Room Decoration Photography Birthday Gift","Rp130.000","Rp130.000","8 terjual","ghivegno","N/A"
"Tuya Smart Zigbee GU10 Spotlight Light Bulb RGBCW Dimmable Lamp 5W","Rp2.172.400","Rp2.172.400","N/A","OUTLET ANNAS","Power Shop"
"Tuya Smart Ceiling lamp RGB Dimmable APP Voice Control With Alexa","Rp1.146.500","Rp1.146.500","N/A","tokonadiah","N/A"
"Tuya Wifi Smart LED Ceiling Lamp APP Control Wood Grain Voice Control","Rp1.256.900","Rp1.256.900","N/A","tictactwo","N/A"
"Tuya Smart Ceiling Lamp App Voice Control with Alexa Yandex Square","Rp1.547.900","Rp1.547.900","N/A","tukiyah","N/A"
"ONNDO Tuya WiFi/Zigbee Smart Candle Bulb，6W RGB+CW Led Lamp Bulb","Rp1.309.800","Rp1.309.800","N/A","sand pas","N/A"
"Smart Bulb ihme 9W RGB CW WW Wireless Lampu Led Pintar Wifi Tuya","Rp93.984","Rp93.984","70+ terjual","Hainess","N/A"
"Lampu led downlight 10w smart led tuya rgbcw Ledpanel 10w light inbow","Rp95.000","Rp95.000","13 terjual","MitraLampu88","Power Shop"
"TERALUX Lampu Downlight 12W Dimmable 2 Color Tuya Smart Life","Rp285.000","Rp285.000","N/A","Intelligent LED","Power Shop"
"Smart Home Tuya Saklar Lampu Sentuh Wireless WIFI RF App Controller","Rp119.999","Rp119.999","17 terjual","insideflow id","Power Shop"
"BARDI LED Flowing Strip 5M with Adaptor - Lampu Pintar Beralur Wi-Fi Automation","Rp737.000","Rp439.000","1rb+ terjual","BARDI Smart Home","Mall"
"Tuya WiFi Smart Humanbody Induction Night Lamp Multi-Gear Dimming","Rp472.500","Rp472.500","N/A","khhf","N/A"
"LED Ceiling Lights Chandelier Lamp Tuya Smart Luster Alexa App Remote","Rp5.003.000","Rp5.003.000","N/A","narss","N/A"
"Square Smart Ceiling lamp Tuya App Remote Control Ceiling lights","Rp1.547.900","Rp1.547.900","N/A","tukiyah","N/A"
"WiFi Tuya Smart LED Light Voice Control Plug In Wall Lamp Work with","Rp525.000","Rp525.000","N/A","minsell","N/A"
"Rgb Tuya Smart Ceiling Lamp Work With Alexa /google Home Led Ceiling","Rp1.240.800","Rp1.240.800","N/A","galeritoko5","N/A"
"Tuya Smart APP WiFi Desk Lamp 16 Million Color Wireless Control Timer","Rp1.233.900","Rp1.233.900","N/A","tokooyan","N/A"
"Tuya Smart WiFi Table Lamp Desk Night Light APP Control Colorful","Rp825.000","Rp825.000","N/A","hanndy onn","N/A"
"Tuya WiFi Spiral LED Table Lamp Smart Dimmable Curved LED Desk Lamp","Rp1.082.500","Rp1.082.500","N/A","bagaga","N/A"
"BLuetooth/BLE Switch Module Relay  Light LAMP On/Off 2.4G Wireless Remote Control Tuya Smart Life Timer DIY Home Automation","Rp445.000","Rp445.000","N/A","helbird","N/A"
"AVATTO EU/US Tuya Smart WIFI Fan Light Switch,Ceiling Fan Lamp Switch","Rp535.000","Rp535.000","N/A","tokocookiesss","N/A"
"New Zigbee Smart Ceiling Lamp LED Downlight Tuya Smart Things App RGBCW","Rp955.200","Rp955.200","N/A","Spirittual Markets","N/A"
"Tuya WIFI Smart  Dimmer Switch LED Touch Wall Light Switch Smart Life APP Voice Control Lamp Switch Work with Alexa Google Home NBJ5X","Rp495.087","Rp495.087","N/A","lusi vonia","N/A"
"Homekit Tuya Wifi Smart Ceiling Lamp Rgbcw Dimmable Ceiling Light .","Rp652.500","Rp652.500","N/A","moocher","N/A"
"BARDI Smart Lamp LED Light Bulb RGB WW Bluetooth 9 Watt 9W Lampu Tidur Smart Beacon BT Bohlam Tuya","Rp116.000","Rp116.000","N/A","Babaa Storee_NEW","N/A"
"BARDI Smart Lamp LED Light Bulb RGB WW Bluetooth 9 Watt 9W Lampu Tidur Smart Beacon BT Bohlam Tuya","Rp193.000","Rp193.000","N/A","sarul toko","N/A"
"40W 24W Tuya Zigbee Smart Ceiling Light Wifi RGBCW Led Ceiling Lamp Livingroom Home Decoration Smart Lamp For Alexa, Google Home","Rp774.000","Rp774.000","N/A","dowhua uapyd23","N/A"
"Tuya Smart WiFi Light Socket Lamp Holder for Led Bulb E27 E26 Google Home Echo Alexa Voice Control, Remote Control ON OFF","Rp429.000","Rp429.000","N/A","KOLAPADA JIYAKILA NUJIHA","N/A"
"Tuya WiFi Smart Light Switch with Motion Sensor US 1 2 Gang Led Lamp","Rp406.200","Rp406.200","N/A","Vega Mart","N/A"
"Smatrul Lampu Dinding RGB Tuya Smart LED Night Light Wall Lamp Wireles","Rp199.000","Rp199.000","N/A","MOREmoreMORE","Power Shop"
"(PROMO) Tuya WiFi E27 Smart Bulb 18W RGBW RGBWW E27 LED Lamp Voice Control Color Changes Dimmable Light Bulb Work With Alexa Google Siri","Rp134.000","Rp134.000","N/A","Ad27shop","N/A"
"Rgb Tuya Smart Ceiling Lamp 110v 220v 30w Smart Ceiling Light Work","Rp1.201.700","Rp1.201.700","N/A","suncloud","N/A"
"100W 50W 30W Tuya WiFi Smart LED Spotlight 220V/110V Flood Light RGB Dimmable Wall Reflector Lamp IP66 Waterproof Lighting","Rp576.708","Rp576.708","N/A","Bokell30","N/A"
"Tuya Wifi Smart Dimmer Switch Led Touch Wall Light Switch Smart Life App Voice Control Lamp Switch Work With Alexa Google Home Lyviz","Rp575.000","Rp575.000","N/A","Baju skena","N/A"
"New E27 9W Wifi Smart LED Light Bulb Dimmable RGB Lamp Tuya App Smart","Rp1.152.500","Rp1.152.500","N/A","jukri shop","N/A"
"New E27 WiFi LED Smart Bulb 9W TUYA / Smart Life Dimmable RGB Lamp Bulbs","Rp900.000","Rp900.000","N/A","Bliss shopp","N/A"
